rule,kind,total,dealer,agent,optimal,cost,frequency,ev_stand,ev_hit,ev_double,ev_split
S17,hard,15,6,stand,stand,0.0,0.005461993627674102,-0.15369901583000456,-0.36582642702373236,-0.7316528540474647,
S17,hard,16,6,stand,stand,0.0,0.004551661356395085,-0.15369901583000456,-0.43092650272911664,-0.8618530054582333,
S17,hard,17,6,stand,stand,0.0,0.004551661356395085,0.011739160673341797,-0.5087525920116814,-1.0175051840233629,
S17,hard,18,6,stand,stand,0.0,0.003641329085116068,0.2834439160468985,-0.607479047092212,-1.214958094184424,
S17,hard,19,6,stand,stand,0.0,0.003641329085116068,0.49597707378731903,-0.7225542066143136,-1.4451084132286272,
S17,soft,13,6,double,double,0.0,0.000910332271279017,-0.15369901583000456,0.16169271124923684,0.17974820582791495,
S17,soft,14,6,double,double,0.0,0.000910332271279017,-0.15369901583000456,0.13916473074357671,0.17974820582791495,
S17,soft,15,6,double,double,0.0,0.000910332271279017,-0.15369901583000456,0.11824589170260662,0.17974820582791495,
S17,soft,16,6,double,double,0.0,0.000910332271279017,-0.15369901583000456,0.09882125545027724,0.17974820582791493,
S17,soft,17,6,double,double,0.0,0.000910332271279017,0.011739160673341797,0.12805214364549894,0.2561042872909979,
S17,soft,18,6,double,double,0.0,0.000910332271279017,0.2834439160468985,0.19075324103939667,0.38150648207879334,
S17,soft,19,6,stand,stand,0.0,0.000910332271279017,0.49597707378731903,0.2397993543641091,0.4795987087282182,
S17,soft,20,6,stand,stand,0.0,0.000910332271279017,0.7039585701713446,0.28779508429888423,0.5755901685977685,
S17,pair,2,6,split,split,0.0,0.0004551661356395085,-0.15369901583000456,0.011130417280979734,-0.3073980316600091,0.1947785981657924
S17,pair,3,6,split,split,0.0,0.0004551661356395085,-0.15369901583000456,-0.013005835529874355,-0.2819460045056481,0.16942022384102556
S17,pair,4,6,split,split,0.0,0.0004551661356395085,-0.15369901583000456,0.11496015009622317,0.08701519812895742,0.1459567349192465
S17,pair,5,6,double,double,0.0,0.0004551661356395085,-0.15369901583000456,0.28779508429888423,0.5755901685977685,0.12431163025768795
S17,pair,6,6,split,split,0.0,0.0004551661356395085,-0.15369901583000456,-0.17052619990757958,-0.34105239981515917,0.10792266460833683
S17,pair,7,6,split,split,0.0,0.0004551661356395085,-0.15369901583000456,-0.30072635131834813,-0.6014527026366963,0.18769123920448347
S17,pair,8,6,split,split,0.0,0.0004551661356395085,-0.15369901583000456,-0.43092650272911664,-0.8618530054582333,0.3255333973851646
S17,pair,9,6,split,split,0.0,0.0004551661356395085,0.2834439160468985,-0.607479047092212,-1.214958094184424,0.4433746088920627
S17,pair,10,6,stand,stand,0.0,0.007282658170232136,0.7039585701713446,-0.85362794278134,-1.70725588556268,0.5755901685977685
S17,pair,11,6,split,split,0.0,0.0004551661356395085,-0.15369901583000456,0.1859536133322554,0.179748205827915,0.6673800949075694
S17,hard,5,7,hit,hit,0.0,0.000910332271279017,-0.4753751832769335,-0.11944744188414848,-0.950750366553867,
S17,hard,6,7,hit,hit,0.0,0.000910332271279017,-0.4753751832769335,-0.15193270723669947,-0.8940478752009072,
S17,hard,7,7,hit,hit,0.0,0.001820664542558034,-0.4753751832769335,-0.06880779958042778,-0.58933588566303,
S17,hard,8,7,hit,hit,0.0,0.001820664542558034,-0.4753751832769335,0.0822074393637429,-0.18772955497255242,
S17,hard,9,7,hit,hit,0.0,0.002730996813837051,-0.4753751832769335,0.17186785993695272,0.10425035196048575,
S17,hard,10,7,double,double,0.0,0.002730996813837051,-0.4753751832769335,0.2569087443360866,0.39241245528243773,
S17,hard,11,7,double,double,0.0,0.0036413290851160683,-0.4753751832769335,0.29214699112701326,0.4628889488642909,
S17,hard,12,7,hit,hit,0.0,0.006372325898953118,-0.4753751832769335,-0.2128477145173142,-0.5067116210767303,
S17,hard,13,7,hit,hit,0.0,0.006372325898953118,-0.4753751832769335,-0.2690728777660775,-0.5874231313418175,
S17,hard,14,7,hit,hit,0.0,0.005461993627674102,-0.4753751832769335,-0.3212819579256434,-0.6681346416069046,
S17,hard,15,7,hit,hit,0.0,0.005461993627674102,-0.4753751832769335,-0.36976181807381175,-0.7488461518719918,
S17,hard,16,7,hit,hit,0.0,0.004551661356395085,-0.4753751832769335,-0.41477883106853947,-0.8295576621370789,
S17,hard,17,7,stand,stand,0.0,0.004551661356395085,-0.10680898948269474,-0.48348583187756294,-0.9669716637551259,
S17,hard,18,7,stand,stand,0.0,0.003641329085116068,0.3995541673365518,-0.5911438447496054,-1.1822876894992107,
S17,hard,19,7,stand,stand,0.0,0.003641329085116068,0.6159764957534315,-0.7154497290383309,-1.4308994580766619,
S17,soft,13,7,hit,hit,0.0,0.000910332271279017,-0.4753751832769335,0.12238569517899203,-0.18386558001638165,
S17,soft,14,7,hit,hit,0.0,0.000910332271279017,-0.4753751832769335,0.07950748849446825,-0.18386558001638165,
S17,soft,15,7,hit,hit,0.0,0.000910332271279017,-0.4753751832769335,0.03702828227926932,-0.18386558001638165,
S17,soft,16,7,hit,hit,0.0,0.000910332271279017,-0.4753751832769335,-0.004890157173015826,-0.18386558001638162,
S17,soft,17,7,hit,hit,0.0,0.000910332271279017,-0.10680898948269474,0.05382346371611668,-0.013758105957502216,
S17,soft,18,7,stand,stand,0.0,0.000910332271279017,0.3995541673365518,0.17067649990517358,0.21994796642061162,
S17,soft,19,7,stand,stand,0.0,0.000910332271279017,0.6159764957534315,0.22062011415522273,0.31983519492070994,
S17,soft,20,7,stand,stand,0.0,0.000910332271279017,0.7732272265371751,0.2569087443360866,0.39241245528243773,
S17,pair,2,7,split,split,0.0,0.0004551661356395085,-0.4753751832769335,-0.08827920105846368,-0.950750366553867,-0.0073993244927046155
S17,pair,3,7,split,split,0.0,0.0004551661356395085,-0.4753751832769335,-0.15193270723669947,-0.8940478752009072,-0.06776045882169346
S17,pair,4,7,hit,hit,0.0,0.0004551661356395085,-0.4753751832769335,0.0822074393637429,-0.18772955497255242,-0.12944368385790753
S17,pair,5,7,double,double,0.0,0.0004551661356395085,-0.4753751832769335,0.2569087443360866,0.39241245528243773,-0.19178016550927715
S17,pair,6,7,hit,hit,0.0,0.0004551661356395085,-0.4753751832769335,-0.2128477145173142,-0.5067116210767303,-0.25675069621437907
S17,pair,7,7,split,split,0.0,0.0004551661356395085,-0.4753751832769335,-0.3212819579256434,-0.6681346416069046,-0.0905008809018357
S17,pair,8,7,split,split,0.0,0.0004551661356395085,-0.4753751832769335,-0.41477883106853947,-0.8295576621370789,0.21152959698650559
S17,pair,9,7,stand,stand,0.0,0.0004551661356395085,0.3995541673365518,-0.5911438447496054,-1.1822876894992107,0.37000371337194815
S17,pair,10,7,stand,stand,0.0,0.007282658170232136,0.7732272265371751,-0.8518518233873444,-1.7037036467746889,0.5138174886721733
S17,pair,11,7,split,split,0.0,0.0004551661356395085,-0.4753751832769335,0.16547293077063507,-0.18386558001638165,0.4628889488642909
S17,hard,5,8,hit,hit,0.0,0.000910332271279017,-0.5105175154976174,-0.18809330390318524,-1.0210350309952347,
S17,hard,6,8,hit,hit,0.0,0.000910332271279017,-0.5105175154976174,-0.21724188132078476,-1.0012555626184394,
S17,hard,7,8,hit,hit,0.0,0.001820664542558034,-0.5105175154976174,-0.2106047687243497,-0.8470757937777854,
S17,hard,8,8,hit,hit,0.0,0.001820664542558034,-0.5105175154976174,-0.059898275658656276,-0.45198684873362777,
S17,hard,9,8,hit,hit,0.0,0.002730996813837051,-0.5105175154976174,0.09837621743539254,-0.02644228964866953,
S17,hard,10,8,double,double,0.0,0.002730996813837051,-0.5105175154976174,0.19795370833197612,0.28663571688628364,
S17,hard,11,8,double,double,0.0,0.0036413290851160683,-0.5105175154976174,0.2299821453239918,0.3506925908703151,
S17,hard,12,8,hit,hit,0.0,0.006372325898953118,-0.5105175154976174,-0.27157480502428616,-0.6156608928303438,
S17,hard,13,8,hit,hit,0.0,0.006372325898953118,-0.5105175154976174,-0.32360517609398,-0.6909658904460949,
S17,hard,14,8,hit,hit,0.0,0.005461993627674102,-0.5105175154976174,-0.37191909208726714,-0.7662708880618462,
S17,hard,15,8,hit,hit,0.0,0.005461993627674102,-0.5105175154976174,-0.41678201408103377,-0.8415758856775973,
S17,hard,16,8,hit,hit,0.0,0.004551661356395085,-0.5105175154976174,-0.4584404416466742,-0.9168808832933484,
S17,hard,17,8,stand,stand,0.0,0.004551661356395085,-0.3819509710484472,-0.5059826746429474,-1.0119653492858949,
S17,hard,18,8,stand,stand,0.0,0.003641329085116068,0.10595134861912359,-0.5910558553059571,-1.1821117106119141,
S17,hard,19,8,stand,stand,0.0,0.003641329085116068,0.5938536682866944,-0.7136599836357028,-1.4273199672714056,
S17,soft,13,8,hit,hit,0.0,0.000910332271279017,-0.5105175154976174,0.054057070196311355,-0.314440902367339,
