total,dealer,soft,can_double,pair,q_hit,q_stand,q_double,q_split,n_hit,n_stand,n_double,n_split
8,9,False,True,0,-0.20341183015019365,-0.5482869268191685,-0.7136702742460883,0.0,10786,9661,9517,0
8,9,False,True,4,-0.23983169705469853,-0.5472602739726034,-0.7263267429760669,-0.47157753111335365,2852,2920,2883,2973
8,10,False,False,0,-0.2524312896405932,-0.5529490616621976,0.0,0.0,7095,2984,0,0
8,10,False,True,0,-0.25004525588973164,-0.5437378669333554,-0.7454004886520849,0.0,38669,33998,33971,0
8,10,False,True,4,-0.24256979885920182,-0.5348489380795699,-0.7868558625840169,-0.5511414171360789,6662,6686,6695,6746
8,11,False,False,0,-0.22865853658536564,-0.6505190311418683,0.0,0.0,1312,578,0,0
8,11,False,True,0,-0.2013835511145276,-0.6790589602091184,-0.8212985436893216,0.0,7806,6886,6592,0
8,11,False,True,4,-0.21290650406504066,-0.6642411642411642,-0.8544830965213137,-0.5162401574803146,1968,1924,2041,2032
9,2,False,False,0,0.0528430160692213,-0.3436161096829482,0.0,0.0,3236,1167,0,0
9,2,False,True,0,0.07334736709815244,-0.2906523392925066,0.06164586352515757,0.0,127312,126192,128346,0
9,3,False,False,0,0.13684834123222742,-0.27438468550592493,0.0,0.0,3376,1097,0,0
9,3,False,True,0,0.10538554286042377,-0.24638354731888645,0.13047997228366526,0.0,34834,34426,37523,0
9,4,False,False,0,0.15121344119477298,-0.2375316990701607,0.0,0.0,3214,1183,0,0
9,4,False,True,0,0.12827213336337034,-0.20341381041485979,0.17989800425651498,0.0,22195,21911,24903,0
9,5,False,False,0,0.15814792543595926,-0.1714023831347387,0.0,0.0,3326,1091,0,0
9,5,False,True,0,0.14813763343175101,-0.15248574226625924,0.24227392231757663,0.0,17612,17359,20159,0
9,6,False,False,0,0.2080856123662313,-0.1284490960989534,0.0,0.0,3364,1051,0,0
9,6,False,True,0,0.19853340575774092,-0.14924760601915102,0.3131880476297472,0.0,14728,14620,17804,0
9,7,False,False,0,0.1601898546425391,-0.4977895667550839,0.0,0.0,3371,1131,0,0
9,7,False,True,0,0.1650407895487483,-0.4706818784823546,0.09547872340425526,0.0,17529,15076,15040,0
9,8,False,False,0,0.08574953732264036,-0.5144927536231885,0.0,0.0,3242,1380,0,0
9,8,False,True,0,0.10306166451056531,-0.5235855581684875,-0.01940536419710302,0.0,16233,14458,14429,0
9,9,False,False,0,-0.07038035339922119,-0.4874524714828892,0.0,0.0,3339,1315,0,0
9,9,False,True,0,-0.045437708359056694,-0.5354516442347725,-0.2969401947148813,0.0,16198,14414,14380,0
9,10,False,False,0,-0.1598619896492239,-0.528963720184406,0.0,0.0,12173,4989,0,0
9,10,False,True,0,-0.1523163762822636,-0.5416951269491247,-0.46466692637319734,0.0,57223,51241,51340,0
9,11,False,False,0,-0.07491438356164389,-0.667738478027868,0.0,0.0,2336,933,0,0
9,11,False,True,0,-0.07290994561710748,-0.6675787980135786,-0.42335913157101096,0.0,10849,9867,9949,0
10,2,False,False,0,0.1802674937003289,-0.32714363735663643,0.0,0.0,5159,1831,0,0
10,2,False,True,0,0.1950181843134569,-0.2882537946123338,0.3785944265571212,0.0,14573,14626,18014,0
10,2,False,True,5,0.18696537678207734,-0.32045723295230605,0.2831583041618044,-0.28649706457925656,2455,2537,2571,2555
10,3,False,False,0,0.18606476938174688,-0.24810274372446045,0.0,0.0,5095,1713,0,0
10,3,False,True,0,0.19519295870006753,-0.24208129645751042,0.41160748377243356,0.0,14770,14933,18333,0
10,3,False,True,5,0.20581113801452777,-0.25880695162047873,0.36081474296799226,-0.07804168686379057,2065,2129,2062,2063
10,4,False,False,0,0.21105326391669993,-0.216860109957239,0.0,0.0,4994,1637,0,0
10,4,False,True,0,0.22700973385065717,-0.20930861859017638,0.43999324818544966,0.0,14691,14782,17773,0
10,4,False,True,5,0.2580181905217809,-0.2028103044496488,0.4666341938626397,0.039224952741020926,2089,2135,2053,2116
10,5,False,False,0,0.24817949222594005,-0.1449438202247191,0.0,0.0,5081,1780,0,0
10,5,False,True,0,0.27236877889583816,-0.17086416400787463,0.5100612423447061,0.0,14708,14731,18288,0
10,5,False,True,5,0.24484748557295954,-0.18047218887554994,0.5067539909946787,0.11696141479099685,2426,2499,2443,2488
10,6,False,False,0,0.26761385753211286,-0.19474313022700096,0.0,0.0,5138,1674,0,0
10,6,False,True,0,0.3008102403486081,-0.16061613625568294,0.5805960408962376,0.0,14687,14737,18388,0
10,6,False,True,5,0.28810663021189364,-0.12992398064961974,0.5681581685744028,0.14626662120695527,2926,2894,2883,2933
10,7,False,False,0,0.26774767648803494,-0.48875479978058245,0.0,0.0,5057,1823,0,0
10,7,False,True,0,0.24412925670703278,-0.47146536532465777,0.3934736607640037,0.0,14947,14754,17958,0
10,7,False,True,5,0.24888431170614506,-0.4652777777777784,0.4097796143250689,-0.17351443123938867,2913,2880,2904,2945
10,8,False,False,0,0.20959938068511738,-0.47813267813267823,0.0,0.0,5167,2035,0,0
10,8,False,True,0,0.19498760671991203,-0.516110554203065,0.2889173216352863,0.0,14524,13966,16413,0
10,8,False,True,5,0.21106758080313412,-0.5313111545988258,0.27773766546329753,-0.37061564876134434,4084,4088,4155,4077
10,9,False,False,0,0.10906571654790223,-0.5588842975206615,0.0,0.0,5052,1936,0,0
10,9,False,True,0,0.10869902310435754,-0.5356821192052971,0.1563565513882115,0.0,19347,18875,20530,0
10,9,False,True,5,0.11221558141973395,-0.5455536912751762,0.13276652775741815,-0.5128468223222755,47685,47680,47753,47755
10,10,False,False,0,0.025483162910220177,-0.5391692599107009,0.0,0.0,18679,7391,0,0
10,10,False,True,0,0.03083746631575638,-0.5405279379485237,-0.00672399597475076,0.0,95371,87927,87448,0
10,10,False,True,5,0.0307067950007184,-0.5366969198885191,-0.0013661693330936126,-0.6135371179039316,27844,27986,27815,27938
10,11,False,False,0,0.06296086216676122,-0.6806358381502875,0.0,0.0,3526,1384,0,0
10,11,False,True,0,0.07509332407327009,-0.6651029200574455,-0.023610053313023557,0.0,11519,10445,10504,0
10,11,False,True,5,0.10013717421124829,-0.6692913385826776,0.00819485545185528,-0.5663288807001372,4374,4318,4393,4342
11,2,False,False,0,0.22186258643519163,-0.30028328611898075,0.0,0.0,6797,2118,0,0
11,2,False,True,0,0.2416987613198703,-0.2994257588187014,0.4831166564872183,0.0,19214,19504,22922,0
11,3,False,False,0,0.271887235708691,-0.27028539451594885,0.0,0.0,6385,1787,0,0
11,3,False,True,0,0.27230602893476974,-0.2529158993247413,0.5346188302546865,0.0,19423,19548,23441,0
11,4,False,False,0,0.28481212503947134,-0.21852731591448943,0.0,0.0,6334,1684,0,0
11,4,False,True,0,0.2807770961145195,-0.22193561700371403,0.5685995953334199,0.0,19560,19384,23229,0
11,5,False,False,0,0.3130340220599654,-0.14965986394557837,0.0,0.0,6437,1764,0,0
11,5,False,True,0,0.3066604273904226,-0.16536805413163883,0.6404930766632909,0.0,19233,19508,23688,0
11,6,False,False,0,0.3460949464012251,-0.14101057579318432,0.0,0.0,6530,1702,0,0
11,6,False,True,0,0.3346745073764572,-0.1501808785529715,0.6744492083032624,0.0,19386,19350,23557,0
11,7,False,False,0,0.2610210371164412,-0.4926719278466743,0.0,0.0,7463,2661,0,0
11,7,False,True,0,0.2933841714756826,-0.46845163968451575,0.4730949487936119,0.0,19408,19272,23044,0
11,8,False,False,0,0.2413229889750917,-0.5221238938053107,0.0,0.0,7347,2938,0,0
11,8,False,True,0,0.22845145810262119,-0.5047152366863913,0.3423006695070001,0.0,21672,21632,24645,0
11,9,False,False,0,0.17486187845303833,-0.5404463040446302,0.0,0.0,7240,2868,0,0
11,9,False,True,0,0.15152565880721208,-0.5482931726907601,0.22902913475926462,0.0,20188,19920,22722,0
11,10,False,False,0,0.12624547937117175,-0.5328207051762922,0.0,0.0,27098,10664,0,0
11,10,False,True,0,0.12257572925801898,-0.5392830995822591,0.18087278538001653,0.0,69557,69661,78851,0
11,11,False,False,0,0.13655504311209105,-0.6807751147373782,0.0,0.0,4987,1961,0,0
11,11,False,True,0,0.14665224185599227,-0.6686365193559446,0.10096029068258518,0.0,24957,23352,23118,0
12,2,False,False,0,-0.2457452111372214,-0.2910709909321128,0.0,0.0,14043,12241,0,0
12,2,False,True,0,-0.2502290169574325,-0.2948334380892528,-0.49505548426058693,0.0,49123,39775,39741,0
12,2,False,True,6,-0.259269079499759,-0.2855344244914151,-0.5122096486003569,-0.22154471544715557,45258,45273,45333,45264
12,2,True,True,11,0.13817663817663822,-0.33080208827717134,0.017316017316017396,0.5241157556270086,2106,2107,2079,2177
12,3,False,False,0,-0.22548017431538173,-0.2550108176511397,0.0,0.0,37174,24497,0,0
12,3,False,True,0,-0.23225920548047277,-0.25233167502630416,-0.4674754192581642,0.0,107436,97891,97434,0
