kind,total,dealer,state,best,ev_stand,ev_hit,ev_double,ev_split
soft,14,6,"(14, 6, True, True, 0)",double,-0.12106685019651231,0.14469185305526175,0.19604841330778028,
soft,15,6,"(15, 6, True, True, 0)",double,-0.12106685019651231,0.12570908853727789,0.19604841330778022,
soft,16,6,"(16, 6, True, True, 0)",double,-0.12106685019651231,0.10808223577057857,0.19604841330778025,
soft,17,6,"(17, 6, True, True, 0)",double,-0.006229168363024007,0.1245252101539259,0.2490504203078518,
soft,18,6,"(18, 6, True, True, 0)",double,0.22344619530395254,0.1775272171539974,0.3550544343079948,
soft,19,6,"(19, 6, True, True, 0)",double,0.4531215589709291,0.23052922415406893,0.46105844830813786,
soft,20,6,"(20, 6, True, True, 0)",stand,0.6782452612815106,0.2824808477642031,0.5649616955284062,
pair,2,6,"(4, 6, False, True, 2)",split,-0.12106685019651231,0.02618902034451944,-0.24213370039302462,0.21948236842134172
pair,3,6,"(6, 6, False, True, 3)",split,-0.12106685019651231,0.004766508539315303,-0.2244663647263341,0.19682761910733687
pair,4,6,"(8, 6, False, True, 4)",split,-0.12106685019651231,0.10385811332306305,0.07587834160740449,0.1758706237756104
pair,5,6,"(10, 6, False, True, 5)",double,-0.12106685019651231,0.2824808477642031,0.5649616955284062,0.15651164550856
pair,6,6,"(12, 6, False, True, 6)",split,-0.12106685019651231,-0.17241676251641377,-0.34483352503282755,0.14136189022419038
pair,7,6,"(14, 6, False, True, 7)",split,-0.12106685019651231,-0.3076372471015657,-0.6152744942031314,0.19373570219565514
pair,8,6,"(16, 6, False, True, 8)",split,-0.12106685019651231,-0.4428577316867177,-0.8857154633734354,0.30352383306087605
pair,9,6,"(18, 6, False, True, 9)",split,0.22344619530395254,-0.6134128876052507,-1.2268257752105014,0.42573502804807994
pair,10,6,"(20, 6, False, True, 10)",stand,0.6782452612815106,-0.8542872583938999,-1.7085745167877997,0.5649616955284062
pair,11,6,"(12, 6, True, True, 11)",split,-0.12106685019651231,0.18715034410732037,0.19604841330778028,0.6646634091889254
hard,5,7,"(5, 7, False, True, 0)",hit,-0.4753751832769335,-0.11944744188414848,-0.950750366553867,
hard,6,7,"(6, 7, False, True, 0)",hit,-0.4753751832769335,-0.15193270723669947,-0.8940478752009072,
hard,7,7,"(7, 7, False, True, 0)",hit,-0.4753751832769335,-0.06880779958042778,-0.58933588566303,
hard,8,7,"(8, 7, False, True, 0)",hit,-0.4753751832769335,0.0822074393637429,-0.18772955497255242,
hard,9,7,"(9, 7, False, True, 0)",hit,-0.4753751832769335,0.17186785993695272,0.10425035196048575,
hard,10,7,"(10, 7, False, True, 0)",double,-0.4753751832769335,0.2569087443360866,0.39241245528243773,
hard,11,7,"(11, 7, False, True, 0)",double,-0.4753751832769335,0.29214699112701326,0.4628889488642909,
hard,12,7,"(12, 7, False, True, 0)",hit,-0.4753751832769335,-0.2128477145173142,-0.5067116210767303,
